Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,19/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,AUT,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.732163548,,1.79937923,,1.751058698,,1.915159225,1.963868618,2.026624441,1.912423491,1.904876947,2.003345251,1.828758121,1.6940341,1.596122026,1.47028935,1.427254438,1.537240982,1.466749072,1.508799553,1.534534812,1.537821054,1.601476908,1.554295182,1.506872177,1.271236777,
Azerbaijan,AZE,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.445619464,,-1.289568424,,-1.292382717,,-1.195501924,-1.046231985,-1.18083179,-1.052521467,-1.095912457,-1.129073739,-1.156654239,-1.194081903,-1.245373249,-1.195314765,-1.142694116,-0.970375061,-1.022490263,-0.930738151,-0.831865549,-0.885625541,-0.831989169,-0.829964042,-1.057083011,-0.827584863,
Burundi,BDI,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.680634856,,-0.681749761,,-0.82470423,,-0.759896934,-0.874153018,-0.97840488,-0.95718044,-1.101503611,-1.166984916,-1.088232398,-1.132561207,-1.168900132,-1.208371162,-1.468606353,-1.426113844,-1.267834663,-1.266484857,-1.260349035,-1.304452658,-1.459785938,-1.480386734,-1.544021368,-1.580753326,
Belgium,BEL,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.359654307,,1.313234091,,1.446859002,,1.45780158,1.375112772,1.360382557,1.377162457,1.301286578,1.347415328,1.36263752,1.452005267,1.473829985,1.519928932,1.559110403,1.604302645,1.512950301,1.511199117,1.569267988,1.440446138,1.461817741,1.481857061,1.47522223,1.484489679,
Benin,BEN,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.548114896,,-0.649413109,,-0.7009179,,-0.795710146,-0.577583432,-0.563022554,-0.871326268,-0.587095916,-0.470139265,-0.514077365,-0.627268314,-0.665382147,-0.605445802,-0.857918382,-0.745442808,-0.669143796,-0.534361541,-0.501190603,-0.549611926,-0.368314892,-0.317782849,-0.033246532,-0.154652014,
Burkina Faso,BFA,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111519091,,0.09559004,,0.124697194,,0.120319605,-0.107514307,-0.149054155,-0.105527252,-0.310118109,-0.329598039,-0.309015125,-0.345606595,-0.356885225,-0.378650427,-0.482446641,-0.525301456,-0.466464132,-0.273306519,-0.145827129,-0.113376908,-0.106927834,-0.195339918,-0.098658048,-0.059376009,
Bangladesh,BGD,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.969682217,,-0.773010969,,-1.212082624,,-1.449086785,-1.54172051,-1.597114921,-1.406466603,-1.442982793,-1.063239932,-1.046788335,-1.075251222,-1.054080248,-1.097388625,-0.85661906,-0.893825352,-0.892129958,-0.81450671,-0.863241136,-0.83595705,-0.902643025,-0.994909585,-0.979526103,-0.962003231,
Bulgaria,BGR,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.361505151,,-0.178232148,,-0.178624526,,-0.171931699,-0.087321013,0.06820406,0.018745424,-0.110585965,-0.231792405,-0.274787337,-0.229267567,-0.237023547,-0.26926437,-0.281460792,-0.327604949,-0.302766591,-0.321295172,-0.236125767,-0.17138277,-0.164292946,-0.157977611,-0.300079286,-0.235711768,
Bahrain,BHR,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328688681,,0.250788927,,0.360480934,,0.791833282,0.37417081,0.436752141,0.383150041,0.188148677,0.175549507,0.181815282,0.180615962,0.179316193,0.209991172,0.36653021,0.42616269,0.273521841,0.134317711,-0.021893913,-0.145698264,-0.151664436,-0.014110372,-0.069731437,0.168159813,
"Bahamas, The",BHS,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.156810164,,1.295374155,,1.302323818,,1.415555596,1.407789588,1.411035895,1.32878685,1.34319973,1.328009129,1.330071688,1.360019565,1.348376751,1.346852183,1.316067934,1.334611177,1.308737755,1.13261497,1.102531791,1.169450283,1.126997828,1.133851767,1.134332895,1.181445718,
